source,title,authors,subfield,published
arxiv,A Case for Leveraging Generative AI to Expand and Enhance Training in the Provision of Mental Health Services,"Hannah R. Lawrence, Shannon Wiltsey Stirman, Samuel Dorison, Taedong Yun, Megan Jones Bell",,2025-10-08T23:44:52Z
arxiv,When Testing AI Tests Us: Safeguarding Mental Health on the Digital Frontlines,"Sachin R. Pendse, Darren Gergle, Rachel Kornfield, Jonah Meyerhoff, David Mohr, Jina Suh, Annie Wescott, Casey Williams, Jessica Schleider",,2025-04-29T16:27:20Z
arxiv,Adjoint computations by algorithmic differentiation of a parallel solver for time-dependent PDEs,"J. I. Cardesa, L. Hascoët, C. Airiau",,2019-12-25T21:17:56Z
arxiv,Computing persistent Stiefel-Whitney classes of line bundles,Raphaël Tinarrage,,2020-05-26T06:56:58Z
arxiv,Computing Singularly Perturbed Differential Equations,"Sabyasachi Chatterjee, Amit Acharya, Zvi Artstein",,2017-07-06T19:58:50Z
arxiv,Improved multiscale computational strategies for delamination,"Olivier Allix, Pierre Gosselet, Pierre Kerfriden",,2011-09-28T06:53:00Z
arxiv,Accelerating computational modeling and design of high-entropy alloys,"Rahul Singh, Aayush Sharma, Prashant Singh, Ganesh Balasubramanian, Duane D. Johnson",,2020-10-22T23:19:28Z
arxiv,Computational Complexity of the Interleaving Distance,"Håvard Bakke Bjerkevik, Magnus Bakke Botnan",,2017-12-12T13:25:04Z
arxiv,Polynomial-time computing over quadratic maps I: sampling in real algebraic sets,"Dima Grigoriev, Dmitrii V. Pasechnik",,2004-03-06T08:20:38Z
arxiv,"The Monte Carlo Computational Summit -- October 25 & 26, 2023 -- Notre Dame, Indiana, USA","Joanna Piper Morgan, Alexander Mote, Samuel Lee Pasmann, Gavin Ridley, Todd Palmer, Kyle E. Niemeyer, Ryan McClarren",,2024-02-13T01:40:20Z
arxiv,Stabilizing the unstable output of persistent homology computations,"Paul Bendich, Peter Bubenik, Alexander Wagner",,2015-12-05T20:42:33Z
arxiv,Computational topology and the Unique Games Conjecture,"Joshua A. Grochow, Jamie Tucker-Foltz",,2018-03-19T04:15:41Z
arxiv,Propositional computability logic I,Giorgi Japaridze,,2004-04-09T00:55:23Z
arxiv,Million Atom Electronic Structure and Device Calculations on Peta-Scale Computers,"Sunhee Lee, Hoon Ryu, Zhengping Jiang, Gerhard Klimeck",,2010-03-24T01:54:26Z
arxiv,Computing quantum phase transitions,Thomas Vojta,,2007-09-06T22:20:41Z
arxiv,Automated Generation of High-Performance Computational Fluid Dynamics Codes,"Sandra Macià, Pedro J. Martıínez-Ferrer, Eduard Ayguadé, Vicenç Beltran",,2022-04-26T07:26:36Z
arxiv,ExpTrialMng: A Universal Experiment Trial Manager for AR/VR/MR Experiments based on Unity,"Jinwook Kim, Yee Joon Kim, Jeongmi Lee",,2022-09-07T07:18:06Z
arxiv,A computational framework for the morpho-elastic development of molluskan shells by surface and volume growth,"Shiva Rudraraju, Derek E. Moulton, Régis Chirat, Alain Goriely, Krishna Garikipati",,2019-01-02T21:50:45Z
arxiv,Deep Learning: A Tool for Computational Nuclear Physics,"Gianina Alina Negoita, Glenn R. Luecke, James P. Vary, Pieter Maris, Andrey M. Shirokov, Ik Jae Shin, Youngman Kim, Esmond G. Ng, Chao Yang",,2018-03-08T17:34:19Z
arxiv,Composable Rate-Independent Computation in Continuous Chemical Reaction Networks,"Cameron Chalk, Niels Kornerup, Wyatt Reeves, David Soloveichik",,2019-06-27T00:20:11Z
arxiv,OpenSBLI: A framework for the automated derivation and parallel execution of finite difference solvers on a range of computer architectures,"Christian T. Jacobs, Satya P. Jammy, Neil D. Sandham",,2016-09-05T10:11:31Z
